Player,GP,PPG,RPG,APG,SPG,BPG,FG%,3P%,TOPG,A/TO Ratio,PTS,REB,AST,STL,BLK,FLS,TO,FGM,FGA,"""3PM",3PA,FG%,3P%
EasyMoneyVon,2,15,1,1.5,0,0,66.66666667,88.88888889,1,1.5,30,2,3,0,0,4,2,10,15,8,9,66.66666667,88.88888889
Fatboyy Buck,1,8,0,1,2,0,44.44444444,0,0,0,8,0,1,2,0,2,0,4,9,0,3,44.44444444,0
FEACH23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feach23,2,14.5,5,2.5,2,0.5,61.11111111,100,5,0.5,29,10,5,4,1,3,10,11,18,1,1,61.11111111,100
FranchiseM TTV,1,33,2,1,0,0,46.875,50,2,0.5,33,2,1,0,0,0,2,15,32,3,6,46.875,50
GC Realty,2,8.5,3,2,2.5,1.5,55.55555556,62.5,1,2,17,6,4,5,3,3,2,5,9,5,8,55.55555556,62.5
handdn mandn,6,11,1.833333333,1.333333333,2.5,0.1666666667,41.26984127,28.20512821,1.166666667,1.142857143,66,11,8,15,1,6,7,26,63,11,39,41.26984127,28.20512821
HandDn ManDn,1,21,1,1,1,0,53.84615385,58.33333333,0,0,21,1,1,1,0,3,0,7,13,7,12,53.84615385,58.33333333
Hxndoutz,1,27,0,11,1,0,71.42857143,85.71428571,2,5.5,27,0,11,1,0,2,2,10,14,6,7,71.42857143,85.71428571
I ANDRETTI I,7,7.142857143,2.285714286,1,1,0.1428571429,61.29032258,62.5,1,1,50,16,7,7,1,9,7,19,31,10,16,61.29032258,62.5
iAM Should,2,10.5,0,0.5,2,0.5,75,50,2,0.25,21,0,1,4,1,2,4,9,12,3,6,75,50
IlIEthicIlI,1,6,7,3,2,1,50,50,0,0,6,7,3,2,1,2,0,2,4,1,2,50,50
IRISHxND,1,0,13,4,1,0,0,0,1,4,0,13,4,1,0,0,1,0,0,0,0,0,0
IxI Tre IxI,1,8,3,13,2,0,60,100,4,3.25,8,3,13,2,0,4,4,3,5,1,1,60,100
